specimen.tag,species,study,microhabitat,sex,SVL,leg.length,live.mass,pr.mass,pr.leg.muscle.mass,jump.maxvel,jump.maxacc,swim.maxvel,swim.maxacc
USNM-435236,Acris crepitans,Moen et al. 2016,terrestrial,m,17.81,32.4,NA,0.451,0.074,NA,NA,NA,NA
USNM-435237,Acris crepitans,Moen et al. 2016,terrestrial,m,18.57,36.15,NA,0.495,0.088,NA,NA,NA,NA
USNM-435242,Acris crepitans,Moen et al. 2016,terrestrial,m,18.82,34.62,NA,0.502,0.086,NA,NA,NA,NA
USNM-435244,Acris crepitans,Moen et al. 2016,terrestrial,m,19.32,36.8,NA,0.556,0.102,NA,NA,NA,NA
USNM-435258,Acris crepitans,Moen et al. 2016,terrestrial,m,17.6,33.55,NA,0.431,0.07,NA,NA,NA,NA
USNM-526326,Acris gryllus,Moen et al. 2016,terrestrial,m,18.46,35.42,NA,0.521,0.078,NA,NA,NA,NA
USNM-526330,Acris gryllus,Moen et al. 2016,terrestrial,m,19.94,35.73,NA,0.699,0.1,NA,NA,NA,NA
USNM-526372,Acris gryllus,Moen et al. 2016,terrestrial,m,20.98,39.83,NA,0.805,0.098,NA,NA,NA,NA
USNM-526380,Acris gryllus,Moen et al. 2016,terrestrial,m,20.6,38.24,NA,0.704,0.09,NA,NA,NA,NA
USNM-526386,Acris gryllus,Moen et al. 2016,terrestrial,m,19.98,40.14,NA,0.76,0.098,NA,NA,NA,NA
USNM-222256,Adenomera andreae,Moen et al. 2016,terrestrial,m,20.43,34.56,NA,0.584,0.098,NA,NA,NA,NA
USNM-222257,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.39,36.73,NA,0.63,0.096,NA,NA,NA,NA
USNM-222259,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.35,35.74,NA,0.7,0.106,NA,NA,NA,NA
USNM-222260,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.25,34.42,NA,0.537,0.082,NA,NA,NA,NA
USNM-222261,Adenomera andreae,Moen et al. 2016,terrestrial,m,22.16,36.46,NA,0.659,0.108,NA,NA,NA,NA
DSM-0131,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,23.06,39.99,1.143333333,0.867,0.142,2.03544,91.396801,0.884211,29.323662
DSM-0177,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,22.69,40.01,0.943333333,0.793,0.11,1.795,88.824933,0.656937,17.98642
DSM-0178,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,f,25.77,43.64,1.636666667,1.479,0.224,2.19134,83.355672,0.753092,17.441757
DSM-0180,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,f,25.51,42.61,1.476666667,1.305,0.238,2.362948,103.925295,0.799119,20.511204
DSM-0186,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,25.38,43.58,1.566666667,1.349,0.204,2.13088,82.9016,1.111737,29.003851
CAS-202032,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.81,33.54,NA,0.622,0.048,NA,NA,NA,NA
CAS-202033,Afrixalus laevis,Moen et al. 2016,arboreal,m,21.17,34.32,NA,0.571,0.04,NA,NA,NA,NA
CAS-202035,Afrixalus laevis,Moen et al. 2016,arboreal,m,21.93,35.43,NA,0.61,0.042,NA,NA,NA,NA
CAS-202106,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.03,34.32,NA,0.501,0.038,NA,NA,NA,NA
CAS-202108,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.48,34.06,NA,0.517,0.038,NA,NA,NA,NA
MCZ-A119870,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,38.69,81.44,NA,4.46,0.824,NA,NA,NA,NA
MCZ-A119872,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,38.51,74.5,NA,4.023,0.704,NA,NA,NA,NA
MCZ-A119888,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,39.46,81.06,NA,5.216,1.016,NA,NA,NA,NA
MCZ-A119892,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,39.1,74.64,NA,3.769,0.696,NA,NA,NA,NA
MCZ-A119895,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,35.66,75.84,NA,3.78,0.676,NA,NA,NA,NA
DSM-0113,Allobates femoralis,Moen et al. 2013,terrestrial,m,26.96,41.64,1.76,1.637,0.244,2.263977,114.541696,0.90641,22.740502
USNM-247114,Ameerega picta,Moen et al. 2016,terrestrial,m,19.96,33.48,NA,0.407,0.05,NA,NA,NA,NA
USNM-268838,Ameerega picta,Moen et al. 2016,terrestrial,m,19.08,31.11,NA,0.408,0.052,NA,NA,NA,NA
USNM-268839,Ameerega picta,Moen et al. 2016,terrestrial,m,17.52,30.48,NA,0.312,0.032,NA,NA,NA,NA
USNM-268840,Ameerega picta,Moen et al. 2016,terrestrial,m,19.01,33.77,NA,0.496,0.044,NA,NA,NA,NA
USNM-342507,Ameerega picta,Moen et al. 2016,terrestrial,m,19.6,33.22,NA,0.389,0.042,NA,NA,NA,NA
DSM-0128,Ameerega trivittata,Moen et al. 2013,terrestrial,f,41.87,71.27,6.44,5.88,0.852,1.82497,42.735351,1.171412,24.65069
DSM-0129,Ameerega trivittata,Moen et al. 2013,terrestrial,m,36.07,62.82,4.276666667,3.238,0.526,2.409182,76.464153,0.860523,17.870201
CAS-177181,Amietia angolensis,Moen et al. 2016,semi-aquatic,m,47.35,95.71,NA,10.92,2.466,NA,NA,NA,NA
CAS-177182,Amietia angolensis,Moen et al. 2016,semi-aquatic,m,46.31,93.92,NA,8.711,1.94,NA,NA,NA,NA
CAS-177191,Amietia angolensis,Moen et al. 2016,semi-aquatic,m,46.86,99.87,NA,9.87,2.23,NA,NA,NA,NA
CAS-202040,Amietia angolensis,Moen et al. 2016,semi-aquatic,m,45.88,101.73,NA,8.109,1.768,NA,NA,NA,NA
CAS-177137,Amnirana albolabris,Moen et al. 2016,semi-aquatic,m,55.71,101.93,NA,13.1,1.62,NA,NA,NA,NA
CAS-177138,Amnirana albolabris,Moen et al. 2016,semi-aquatic,m,52.48,93.68,NA,8.256,1.294,NA,NA,NA,NA
CAS-177139,Amnirana albolabris,Moen et al. 2016,semi-aquatic,m,56.95,104.46,NA,14.758,2.02,NA,NA,NA,NA
CAS-202204,Amnirana albolabris,Moen et al. 2016,semi-aquatic,m,52.74,100.29,NA,8.347,1.188,NA,NA,NA,NA
KIZ-04113,Amolops tuberodepressus,Moen et al. 2013,torrential,f,64.89,118.65,22.02,17,2.8,2.727836,36.007325,NA,NA
KIZ-04155,Amolops tuberodepressus,Moen et al. 2013,torrential,m,43.77,91.84,8.02,5.81,1,2.468097,53.572317,1.607268,53.210699
KIZ-04158,Amolops tuberodepressus,Moen et al. 2013,torrential,m,48.33,97.8,10.09,7.63,1.7,2.437712,65.861571,1.556465,37.017437
KIZ-04178,Amolops tuberodepressus,Moen et al. 2013,torrential,m,44.84,86.26,6.68,4.86,0.74,1.884097,70.502101,1.597074,33.133681
KIZ-04202,Amolops tuberodepressus,Moen et al. 2013,torrential,m,47.94,93.19,7.79,6.16,1,2.095593,51.434677,1.208581,22.101829
USNM-528746,Anaxyrus americanus,Moen et al. 2016,terrestrial,m,62,84.39,NA,19.562,1.858,NA,NA,NA,NA
USNM-528748,Anaxyrus americanus,Moen et al. 2016,terrestrial,m,59.74,82.93,NA,21.347,1.722,NA,NA,NA,NA
USNM-528750,Anaxyrus americanus,Moen et al. 2016,terrestrial,m,58.48,76.83,NA,18.108,1.526,NA,NA,NA,NA
USNM-528752,Anaxyrus americanus,Moen et al. 2016,terrestrial,m,57.45,76.98,NA,17.375,1.416,NA,NA,NA,NA
USNM-528756,Anaxyrus americanus,Moen et al. 2016,terrestrial,m,58.1,83.02,NA,19.574,1.436,NA,NA,NA,NA
USNM-528968,Anaxyrus fowleri,Moen et al. 2016,burrowing,m,49.97,74.31,NA,13.059,1.024,NA,NA,NA,NA
USNM-528969,Anaxyrus fowleri,Moen et al. 2016,burrowing,m,47.53,72.15,NA,10.836,1.004,NA,NA,NA,NA
USNM-528970,Anaxyrus fowleri,Moen et al. 2016,burrowing,m,52.07,78.58,NA,14.367,1.084,NA,NA,NA,NA
USNM-528971,Anaxyrus fowleri,Moen et al. 2016,burrowing,m,49.18,73.88,NA,12.205,0.848,NA,NA,NA,NA
USNM-528972,Anaxyrus fowleri,Moen et al. 2016,burrowing,m,52.61,80.23,NA,16.953,1.23,NA,NA,NA,NA
FMNH-138821,Ansonia leptopus,Moen et al. 2016,terrestrial,m,34.5,56.25,NA,1.801,0.252,NA,NA,NA,NA
FMNH-138833,Ansonia leptopus,Moen et al. 2016,terrestrial,m,33.36,52.22,NA,1.52,0.144,NA,NA,NA,NA
FMNH-194730,Ansonia leptopus,Moen et al. 2016,terrestrial,m,31.5,54.34,NA,1.805,0.194,NA,NA,NA,NA
FMNH-194748,Ansonia leptopus,Moen et al. 2016,terrestrial,m,30.58,49.31,NA,1.502,0.164,NA,NA,NA,NA
FMNH-195108,Ansonia leptopus,Moen et al. 2016,terrestrial,m,33.24,54.09,NA,1.63,0.162,NA,NA,NA,NA
USNM-208735,Aplastodiscus arildae,Moen et al. 2016,arboreal,m,38.61,65.26,NA,2.579,0.216,NA,NA,NA,NA
USNM-247814,Aplastodiscus arildae,Moen et al. 2016,arboreal,m,40.53,64.23,NA,2.437,0.202,NA,NA,NA,NA
USNM-247815,Aplastodiscus arildae,Moen et al. 2016,arboreal,m,39.73,66.24,NA,2.353,0.234,NA,NA,NA,NA
USNM-303021,Aplastodiscus arildae,Moen et al. 2016,arboreal,m,38.53,64.09,NA,2.639,0.22,NA,NA,NA,NA
CAS-201717,Arthroleptis schubotzi,Moen et al. 2016,terrestrial,m,18.57,31.14,NA,0.522,0.04,NA,NA,NA,NA
CAS-201719,Arthroleptis schubotzi,Moen et al. 2016,terrestrial,m,17.25,31.44,NA,0.435,0.026,NA,NA,NA,NA
CAS-201737,Arthroleptis schubotzi,Moen et al. 2016,terrestrial,m,19.27,31.15,NA,0.555,0.036,NA,NA,NA,NA
CAS-201738,Arthroleptis schubotzi,Moen et al. 2016,terrestrial,m,18,30.61,NA,0.53,0.036,NA,NA,NA,NA
CAS-201739,Arthroleptis schubotzi,Moen et al. 2016,terrestrial,m,20.02,33.28,NA,0.669,0.044,NA,NA,NA,NA
KIZ-04140,Babina pleuraden,Moen et al. 2013,semi-aquatic,f,48.16,81.09,10.45,7.74,1.24,2.602271,77.686683,1.128912,36.156594
KIZ-04144,Babina pleuraden,Moen et al. 2013,semi-aquatic,f,38.79,72.75,5.49,3.73,0.64,2.584254,87.784964,1.415544,39.004773
KIZ-04159,Babina pleuraden,Moen et al. 2013,semi-aquatic,f,43.2,79.65,6.53,4.71,0.9,2.649344,79.220057,1.373373,42.530982
KIZ-04167,Babina pleuraden,Moen et al. 2013,semi-aquatic,m,48.38,82,11.49,10.13,1.82,2.846551,82.745238,1.839938,62.886717
KIZ-04182,Babina pleuraden,Moen et al. 2013,semi-aquatic,m,44.87,77.94,7.92,6.5,1.02,2.530993,62.313394,1.476466,30.197478
KIZ-04183,Babina pleuraden,Moen et al. 2013,semi-aquatic,f,47.9,80.37,9.46,8.36,1.46,2.71176,69.037277,1.100856,24.566561
MCZ-A136667,Blommersia blommersae,Moen et al. 2016,arboreal,m,17.76,34.15,NA,0.347,0.048,NA,NA,NA,NA
MCZ-A136670,Blommersia blommersae,Moen et al. 2016,arboreal,m,17.9,30.24,NA,0.289,0.044,NA,NA,NA,NA
USNM-208745,Bokermannohyla circumdata,Moen et al. 2016,arboreal,m,58.41,103.59,NA,16.46,1.484,NA,NA,NA,NA
USNM-208752,Bokermannohyla circumdata,Moen et al. 2016,arboreal,m,62.14,112.02,NA,21.549,2.008,NA,NA,NA,NA
USNM-208755,Bokermannohyla circumdata,Moen et al. 2016,arboreal,m,64.83,119.03,NA,20.053,2.018,NA,NA,NA,NA
USNM-208756,Bokermannohyla circumdata,Moen et al. 2016,arboreal,m,59.22,109.59,NA,14.88,1.266,NA,NA,NA,NA
USNM-208783,Bokermannohyla circumdata,Moen et al. 2016,arboreal,m,58.82,107.25,NA,14.809,1.342,NA,NA,NA,NA
USNM-129107,Bokermannohyla hylax,Moen et al. 2016,arboreal,m,56.42,97.96,NA,9.952,1.26,NA,NA,NA,NA
USNM-208777,Bokermannohyla hylax,Moen et al. 2016,arboreal,m,40.68,74.46,NA,4.698,0.326,NA,NA,NA,NA
USNM-208780,Bokermannohyla hylax,Moen et al. 2016,arboreal,m,35.71,63.02,NA,2.649,0.204,NA,NA,NA,NA
USNM-247811,Bokermannohyla hylax,Moen et al. 2016,arboreal,m,55.89,96.6,NA,10.536,1.082,NA,NA,NA,NA
USNM-247812,Bokermannohyla hylax,Moen et al. 2016,arboreal,m,58.97,99.94,NA,13.043,1.012,NA,NA,NA,NA
MCZ-A119958,Boophis madagascariensis,Moen et al. 2016,arboreal,m,51.12,91.66,NA,6.209,0.74,NA,NA,NA,NA
MCZ-A119965,Boophis madagascariensis,Moen et al. 2016,arboreal,m,51.23,95.52,NA,7.569,0.864,NA,NA,NA,NA
MCZ-A120143,Boophis madagascariensis,Moen et al. 2016,arboreal,m,52.6,96.95,NA,5.792,0.746,NA,NA,NA,NA
MCZ-A120340,Boophis miniatus,Moen et al. 2016,arboreal,m,29.08,50.92,NA,1.35,0.124,NA,NA,NA,NA
MCZ-A120547,Boophis miniatus,Moen et al. 2016,arboreal,m,29.28,50.35,NA,1.019,0.094,NA,NA,NA,NA
MCZ-A120576,Boophis miniatus,Moen et al. 2016,arboreal,m,28.67,48.22,NA,1.07,0.09,NA,NA,NA,NA
MCZ-A120660,Boophis miniatus,Moen et al. 2016,arboreal,m,29.54,50.99,NA,1.21,0.094,NA,NA,NA,NA
MCZ-A120664,Boophis miniatus,Moen et al. 2016,arboreal,m,28.7,51.25,NA,1.357,0.102,NA,NA,NA,NA
MCZ-A120389,Boophis reticulatus,Moen et al. 2016,arboreal,m,29.74,55.77,NA,1.074,0.106,NA,NA,NA,NA
MCZ-A120391,Boophis reticulatus,Moen et al. 2016,arboreal,m,31.05,59.34,NA,1.541,0.144,NA,NA,NA,NA
MCZ-A120623,Boophis reticulatus,Moen et al. 2016,arboreal,m,32.5,59.58,NA,1.914,0.166,NA,NA,NA,NA
CAS-200128,Breviceps adspersus,Moen et al. 2016,burrowing,m,33.41,37.96,NA,4.565,0.304,NA,NA,NA,NA
CAS-200129,Breviceps adspersus,Moen et al. 2016,burrowing,m,38.87,44.76,NA,7.13,0.472,NA,NA,NA,NA
CAS-200131,Breviceps adspersus,Moen et al. 2016,burrowing,m,38.44,37.75,NA,6.008,0.362,NA,NA,NA,NA
CM-54215,Bufo spinosus,Moen et al. 2016,terrestrial,m,58.68,82.81,NA,15.929,1.104,NA,NA,NA,NA
CM-54705,Bufo spinosus,Moen et al. 2016,terrestrial,m,79.52,120.35,NA,43.018,4.054,NA,NA,NA,NA
CM-54705B,Bufo spinosus,Moen et al. 2016,terrestrial,m,70.95,102.08,NA,30.327,2.964,NA,NA,NA,NA
CM-55750,Bufo spinosus,Moen et al. 2016,terrestrial,m,62.76,90.71,NA,23.446,1.532,NA,NA,NA,NA
USNM-222264,Ceratophrys cornuta,Moen et al. 2016,terrestrial,m,73.24,100.3,NA,46.03,2.3,NA,NA,NA,NA
USNM-342848,Ceratophrys cornuta,Moen et al. 2016,terrestrial,m,69.6,92.39,NA,44.337,1.964,NA,NA,NA,NA
USNM-343238,Ceratophrys cornuta,Moen et al. 2016,terrestrial,m,67.78,103.58,NA,50.896,2.688,NA,NA,NA,NA
DSM-0109,Chiasmocleis bassleri,Moen et al. 2013,terrestrial,m,16.59,27.55,0.485,0.372,0.056,1.908152,82.975507,0.707686,36.543299
DSM-0110,Chiasmocleis bassleri,Moen et al. 2013,terrestrial,m,17.03,30.26,0.51,0.402,0.07,2.100496,90.676435,0.857984,42.153906
DSM-0111,Chiasmocleis bassleri,Moen et al. 2013,terrestrial,f,26.05,40.29,1.563333333,1.296,0.152,1.919044,69.513499,0.596511,16.703194
DSM-0112,Chiasmocleis bassleri,Moen et al. 2013,terrestrial,f,20.94,32.57,1.04,0.91,0.11,1.901763,73.95728,0.643515,21.521066
DSM-0130,Chiasmocleis bassleri,Moen et al. 2013,terrestrial,f,21.55,33.25,1.0767,0.722,0.086,2.036594,86.763862,0.689168,16.998872
KIZ-04136,Chiromantis doriae,Moen et al. 2013,arboreal,m,26.55,44.28,1.12,0.62,0.02,1.927098,54.380259,0.945221,26.18679
KIZ-04146,Chiromantis doriae,Moen et al. 2013,arboreal,f,29.2,50.28,1.82,1.12,0.14,2.168964,54.134281,0.926512,28.704832
KIZ-04148,Chiromantis doriae,Moen et al. 2013,arboreal,m,25.92,40.21,0.93,0.49,0.04,2.358838,87.674665,0.951097,31.2044
KIZ-04171,Chiromantis doriae,Moen et al. 2013,arboreal,m,26.27,43.44,1.08,0.76,0.09,2.152698,72.894338,1.191793,49.915228
KU-186150,Craugastor brocchi,Moen et al. 2016,terrestrial,m,30.83,66.35,NA,2.109,0.322,NA,NA,NA,NA
KU-186156,Craugastor brocchi,Moen et al. 2016,terrestrial,m,37.33,80.02,NA,3.82,0.658,NA,NA,NA,NA
KU-189621,Craugastor brocchi,Moen et al. 2016,terrestrial,m,29.55,63.49,NA,2.167,0.346,NA,NA,NA,NA
KU-189634,Craugastor brocchi,Moen et al. 2016,terrestrial,m,32.73,68.95,NA,3.205,0.518,NA,NA,NA,NA
KU-189640,Craugastor brocchi,Moen et al. 2016,terrestrial,m,42.52,82.7,NA,6.517,1.188,NA,NA,NA,NA
KU-186165,Craugastor lineatus,Moen et al. 2016,terrestrial,m,32.51,63.13,NA,2.491,0.354,NA,NA,NA,NA
KU-186172,Craugastor lineatus,Moen et al. 2016,terrestrial,m,30.73,58.87,NA,2.299,0.314,NA,NA,NA,NA
KU-186181,Craugastor lineatus,Moen et al. 2016,terrestrial,m,38.63,76.05,NA,4.142,0.556,NA,NA,NA,NA
KU-186184,Craugastor lineatus,Moen et al. 2016,terrestrial,m,30.68,59.98,NA,2.155,0.242,NA,NA,NA,NA
KU-189670,Craugastor lineatus,Moen et al. 2016,terrestrial,m,30.32,55.78,NA,1.909,0.28,NA,NA,NA,NA
USNM-318198,Crossodactylus dispar,Moen et al. 2016,terrestrial,m,29.78,47.96,NA,2.393,0.29,NA,NA,NA,NA
USNM-318199,Crossodactylus dispar,Moen et al. 2016,terrestrial,m,25.27,41.18,NA,1.711,0.156,NA,NA,NA,NA
USNM-318200,Crossodactylus dispar,Moen et al. 2016,terrestrial,m,28.72,45.8,NA,2.459,0.198,NA,NA,NA,NA
USNM-318201,Crossodactylus dispar,Moen et al. 2016,terrestrial,m,25.39,41.52,NA,1.255,0.176,NA,NA,NA,NA
USNM-318227,Crossodactylus dispar,Moen et al. 2016,terrestrial,m,25.32,41.22,NA,1.147,0.144,NA,NA,NA,NA
DSM-0207,Cyclorana australis,Moen et al. 2013,burrowing,m,66.37,107.69,29.093,23.858,3.048,2.950124,55.526919,0.955033,30.707492
DSM-0208,Cyclorana australis,Moen et al. 2013,burrowing,m,62.8,103.69,27.94333333,24.227,3.416,2.522119,49.318332,0.930636,23.891898
DSM-0209,Cyclorana australis,Moen et al. 2013,burrowing,m,68.66,111.97,31.97666667,28.11,3.962,2.627885,49.643519,1.32355,27.687947
DSM-0210,Cyclorana australis,Moen et al. 2013,burrowing,f,71.61,121.53,37.94333333,30.976,5.056,2.712547,54.530369,1.24914,17.72728
DSM-0237,Cyclorana australis,Moen et al. 2013,burrowing,m,67.59,108.64,29.51,21.927,3.112,2.353957,41.081961,1.008773,22.0115
DSM-0292,Cyclorana australis,Moen et al. 2013,burrowing,m,73.73,114.31,45.935,38.899,5.886,2.793473,51.063709,1.281637,29.11596
DSM-0238,Cyclorana longipes,Moen et al. 2013,burrowing,m,38.19,55.07,5.173333333,3.942,0.324,1.952767,53.877824,0.629358,11.388562
DSM-0239,Cyclorana longipes,Moen et al. 2013,burrowing,f,46.62,66.2,10.54666667,8.913,0.722,2.169356,43.429322,0.665697,10.823577
DSM-0256,Cyclorana longipes,Moen et al. 2013,burrowing,f,44.61,64.73,8.54,7.501,0.616,2.13422,70.542217,1.041103,31.24851
DSM-0279,Cyclorana longipes,Moen et al. 2013,burrowing,m,38.06,54.4,5.476666667,4.221,0.346,1.900152,56.271911,0.699621,21.395623
DSM-0280,Cyclorana longipes,Moen et al. 2013,burrowing,m,40.74,59.19,5.35,4.45,0.372,1.831874,47.87746,0.723935,21.496231
DSM-0281,Cyclorana longipes,Moen et al. 2013,burrowing,f,41.77,63.1,6.253333333,4.422,0.512,2.447364,70.383581,0.749348,14.216019
USNM-243572,Dendropsophus microps,Moen et al. 2016,arboreal,m,21.1,32.4,NA,0.359,0.032,NA,NA,NA,NA
USNM-243573,Dendropsophus microps,Moen et al. 2016,arboreal,m,20.75,34.81,NA,0.448,0.03,NA,NA,NA,NA
USNM-243574,Dendropsophus microps,Moen et al. 2016,arboreal,m,21.41,35.75,NA,0.431,0.024,NA,NA,NA,NA
USNM-243575,Dendropsophus microps,Moen et al. 2016,arboreal,m,22.1,35.22,NA,0.574,0.04,NA,NA,NA,NA
USNM-247826,Dendropsophus microps,Moen et al. 2016,arboreal,m,21.55,34.36,NA,0.48,0.028,NA,NA,NA,NA
USNM-208841,Dendropsophus minutus,Moen et al. 2016,arboreal,m,21.49,36.53,NA,0.407,0.038,NA,NA,NA,NA
USNM-208842,Dendropsophus minutus,Moen et al. 2016,arboreal,m,21.39,37.83,NA,0.636,0.054,NA,NA,NA,NA
USNM-208847,Dendropsophus minutus,Moen et al. 2016,arboreal,m,19.23,33.72,NA,0.482,0.034,NA,NA,NA,NA
USNM-303042,Dendropsophus minutus,Moen et al. 2016,arboreal,m,19.77,34.71,NA,0.364,0.03,NA,NA,NA,NA
USNM-303043,Dendropsophus minutus,Moen et al. 2016,arboreal,m,20.53,36.71,NA,0.485,0.04,NA,NA,NA,NA
USNM-247171,Dendropsophus parviceps,Moen et al. 2016,arboreal,m,19.49,33.88,NA,0.422,0.046,NA,NA,NA,NA
USNM-247173,Dendropsophus parviceps,Moen et al. 2016,arboreal,m,19.55,35.8,NA,0.395,0.034,NA,NA,NA,NA
USNM-247174,Dendropsophus parviceps,Moen et al. 2016,arboreal,m,17.45,29.71,NA,0.288,0.03,NA,NA,NA,NA
USNM-247180,Dendropsophus parviceps,Moen et al. 2016,arboreal,m,19.47,33.41,NA,0.392,0.036,NA,NA,NA,NA
USNM-247599,Dendropsophus parviceps,Moen et al. 2016,arboreal,m,20.04,33.84,NA,0.502,0.048,NA,NA,NA,NA
DSM-0045,Dendropsophus rhodopeplus,Moen et al. 2013,arboreal,m,21.82,38.34,0.7533,0.556,0.07,2.541686,98.054238,1.215778,41.729654
USNM-342946,Dendropsophus rhodopeplus,Moen et al. 2016,arboreal,m,19.65,35.75,NA,0.365,0.038,NA,NA,NA,NA
USNM-342947,Dendropsophus rhodopeplus,Moen et al. 2016,arboreal,m,21.35,35.51,NA,0.491,0.052,NA,NA,NA,NA
USNM-342948,Dendropsophus rhodopeplus,Moen et al. 2016,arboreal,m,21.74,38.76,NA,0.493,0.062,NA,NA,NA,NA
USNM-342949,Dendropsophus rhodopeplus,Moen et al. 2016,arboreal,m,21.18,38.59,NA,0.376,0.036,NA,NA,NA,NA
USNM-345247,Dendropsophus rhodopeplus,Moen et al. 2016,arboreal,m,21.68,37.96,NA,0.681,0.062,NA,NA,NA,NA
DSM-0046,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,25.1,48.4,1.13,0.977,0.116,3.094075,119.514226,1.036213,29.755719
DSM-0132,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,24.86,45.29,1.033333333,0.912,0.12,2.297353,90.74532,1.276426,33.525217
DSM-0134,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,25.53,45.72,1.006666667,0.888,0.112,3.343124,163.836076,1.131578,49.413946
DSM-0135,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,24.46,42.22,0.896666667,0.77,0.094,2.630539,109.899497,1.208382,39.473392
DSM-0137,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,25.86,48.8,0.976666667,0.78,0.096,2.925462,118.993287,1.327088,41.294795
DSM-0138,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,27.08,47.56,1.293333333,1.128,0.132,3.198747,123.168126,1.456751,42.174184
DSM-0140,Dendropsophus sarayacuensis,Moen et al. 2013,arboreal,m,27.91,50.58,1.11,1.05,0.14,3.212096,142.809619,1.302338,39.630722
