specimen.tag,species,study,microhabitat,sex,SVL,leg.length,live.mass,pr.mass,pr.leg.muscle.mass,jump.maxvel,jump.maxacc,swim.maxvel,swim.maxacc
USNM-208890,Hypsiboas polytaenius,Moen et al. 2016,arboreal,m,29.24,50.56,NA,1.257,0.09,NA,NA,NA,NA
USNM-208893,Hypsiboas polytaenius,Moen et al. 2016,arboreal,m,30.18,52.07,NA,1.184,0.086,NA,NA,NA,NA
USNM-208914,Hypsiboas polytaenius,Moen et al. 2016,arboreal,m,28.06,48.89,NA,1.088,0.056,NA,NA,NA,NA
USNM-208955,Hypsiboas polytaenius,Moen et al. 2016,arboreal,m,31.19,54.47,NA,1.063,0.08,NA,NA,NA,NA
DSM-0159,Hypsiboas punctatus,Moen et al. 2013,arboreal,m,34.69,61.48,1.903333,1.705,0.164,1.941487,40.427416,1.419687,38.440273
DSM-0160,Hypsiboas punctatus,Moen et al. 2013,arboreal,f,36.52,64.14,2.333333333,1.942,0.192,2.141887,38.418192,0.989565,19.85346
DSM-0162,Hypsiboas punctatus,Moen et al. 2013,arboreal,m,33.36,57.56,2.106666667,1.736,0.188,2.642229,78.014464,1.159691,23.150592
DSM-0163,Hypsiboas punctatus,Moen et al. 2013,arboreal,m,33.13,56.2,2.003333333,1.756,0.15,2.351174,63.219316,1.007813,28.956719
DSM-0164,Hypsiboas punctatus,Moen et al. 2013,arboreal,m,33.56,59.2,2.38,2.014,0.192,2.429402,46.38148,1.065121,20.003807
DSM-0165,Hypsiboas punctatus,Moen et al. 2013,arboreal,m,37.09,60.66,2.885,2.665,0.262,2.332397,67.915418,1.12603,22.273747
DSM-0168,Hypsiboas punctatus,Moen et al. 2013,arboreal,f,36.87,60.54,2.62,2.523,0.196,2.247099,49.552658,1.09642,29.237749
KU-186289,Incilius ibarrai,Moen et al. 2016,terrestrial,m,71.61,106.92,NA,35.354,3,NA,NA,NA,NA
KU-186290,Incilius ibarrai,Moen et al. 2016,terrestrial,m,67.18,94.09,NA,28.552,2.118,NA,NA,NA,NA
KU-186291,Incilius ibarrai,Moen et al. 2016,terrestrial,m,66.1,93.71,NA,26.611,2.502,NA,NA,NA,NA
KU-186293,Incilius ibarrai,Moen et al. 2016,terrestrial,m,69.88,102.18,NA,36.008,2.792,NA,NA,NA,NA
KU-186294,Incilius ibarrai,Moen et al. 2016,terrestrial,m,64.48,97,NA,25.87,2.168,NA,NA,NA,NA
FMNH-217926,Indirana brachytarsus,Moen et al. 2016,terrestrial,m,32,56.95,NA,2.3925,0.396,NA,NA,NA,NA
FMNH-217937,Indirana brachytarsus,Moen et al. 2016,terrestrial,m,29.83,53.94,NA,1.849,0.274,NA,NA,NA,NA
FMNH-217943,Indirana brachytarsus,Moen et al. 2016,terrestrial,m,30.08,56.9,NA,1.8817,0.3146,NA,NA,NA,NA
FMNH-217955,Indirana brachytarsus,Moen et al. 2016,terrestrial,m,28.71,52.46,NA,1.5618,0.2048,NA,NA,NA,NA
FMNH-217959,Indirana brachytarsus,Moen et al. 2016,terrestrial,m,29.85,53.32,NA,1.8226,0.2826,NA,NA,NA,NA
FMNH-218030,Indosylvirana temporalis,Moen et al. 2016,torrential,m,56.31,97.62,NA,8.9415,1.3824,NA,NA,NA,NA
FMNH-218031,Indosylvirana temporalis,Moen et al. 2016,torrential,m,50.87,89.88,NA,7.8145,1.1996,NA,NA,NA,NA
FMNH-218033,Indosylvirana temporalis,Moen et al. 2016,torrential,m,50.82,91.51,NA,6.8021,1.163,NA,NA,NA,NA
FMNH-218036,Indosylvirana temporalis,Moen et al. 2016,torrential,m,50.39,87.88,NA,8.0393,0.9734,NA,NA,NA,NA
FMNH-218040,Indosylvirana temporalis,Moen et al. 2016,torrential,m,53.43,87.78,NA,8.7235,1.1494,NA,NA,NA,NA
FMNH-218042,Indosylvirana temporalis,Moen et al. 2016,torrential,m,50.5,89.57,NA,6.5271,1.1308,NA,NA,NA,NA
FMNH-138852,Ingerophrynus divergens,Moen et al. 2016,terrestrial,m,37.45,63.68,NA,5.614,0.464,NA,NA,NA,NA
FMNH-138859,Ingerophrynus divergens,Moen et al. 2016,terrestrial,m,43.35,68.43,NA,5.947,0.54,NA,NA,NA,NA
FMNH-138876,Ingerophrynus divergens,Moen et al. 2016,terrestrial,m,38.96,64.66,NA,4.497,0.47,NA,NA,NA,NA
FMNH-138892,Ingerophrynus divergens,Moen et al. 2016,terrestrial,m,37.32,62.11,NA,3.746,0.372,NA,NA,NA,NA
FMNH-138893,Ingerophrynus divergens,Moen et al. 2016,terrestrial,m,35.4,60.04,NA,3.396,0.364,NA,NA,NA,NA
USNM-235634,Ischnocnema guentheri,Moen et al. 2016,terrestrial,m,24.3,58.11,NA,1.48,0.228,NA,NA,NA,NA
USNM-235638,Ischnocnema guentheri,Moen et al. 2016,terrestrial,m,24.12,50.59,NA,1.371,0.188,NA,NA,NA,NA
USNM-235665,Ischnocnema guentheri,Moen et al. 2016,terrestrial,m,26.13,55.78,NA,1.537,0.212,NA,NA,NA,NA
USNM-235666,Ischnocnema guentheri,Moen et al. 2016,terrestrial,m,25.31,54,NA,1.543,0.188,NA,NA,NA,NA
USNM-235667,Ischnocnema guentheri,Moen et al. 2016,terrestrial,m,26.88,60.5,NA,1.523,0.26,NA,NA,NA,NA
FMNH-138068,Kalophrynus pleurostigma,Moen et al. 2016,terrestrial,m,50.21,76.25,NA,11.587,1.332,NA,NA,NA,NA
FMNH-150432,Kalophrynus pleurostigma,Moen et al. 2016,terrestrial,m,49.18,72.63,NA,9.513,1.062,NA,NA,NA,NA
FMNH-150433,Kalophrynus pleurostigma,Moen et al. 2016,terrestrial,m,47.33,70.87,NA,8.114,0.826,NA,NA,NA,NA
FMNH-248861,Kaloula baleata,Moen et al. 2016,arboreal,m,58.29,76.87,NA,19.958,1.586,NA,NA,NA,NA
FMNH-248862,Kaloula baleata,Moen et al. 2016,arboreal,f,60.62,74.48,NA,23.537,1.138,NA,NA,NA,NA
FMNH-63499,Kaloula baleata,Moen et al. 2016,arboreal,m,53.46,74.47,NA,13.861,0.996,NA,NA,NA,NA
FMNH-63500,Kaloula baleata,Moen et al. 2016,arboreal,f,51.74,66.87,NA,14.309,1.25,NA,NA,NA,NA
USNM-149295,Laliostoma labrosum,Moen et al. 2016,burrowing,m,46.26,74.16,NA,7.917,0.926,NA,NA,NA,NA
USNM-149297,Laliostoma labrosum,Moen et al. 2016,burrowing,m,47.77,71.12,NA,7.163,0.9,NA,NA,NA,NA
USNM-499273,Laliostoma labrosum,Moen et al. 2016,burrowing,m,49.54,83.3,NA,11.137,1.06,NA,NA,NA,NA
FMNH-138149,Leptobrachella mjobergi,Moen et al. 2016,terrestrial,m,18.17,32.37,NA,0.389,0.068,NA,NA,NA,NA
FMNH-138166,Leptobrachella mjobergi,Moen et al. 2016,terrestrial,m,17.98,32.91,NA,0.208,0.08,NA,NA,NA,NA
FMNH-138168,Leptobrachella mjobergi,Moen et al. 2016,terrestrial,m,18.33,33.86,NA,0.226,0.078,NA,NA,NA,NA
FMNH-138178,Leptobrachella mjobergi,Moen et al. 2016,terrestrial,m,18.88,32.13,NA,0.298,0.08,NA,NA,NA,NA
FMNH-146270,Leptobrachella mjobergi,Moen et al. 2016,terrestrial,m,18.99,31.53,NA,0.415,0.07,NA,NA,NA,NA
FMNH-188475,Leptobrachium montanum,Moen et al. 2016,terrestrial,m,68.35,84.41,NA,13.414,0.978,NA,NA,NA,NA
FMNH-188479,Leptobrachium montanum,Moen et al. 2016,terrestrial,m,59.75,80.54,NA,10.793,0.726,NA,NA,NA,NA
FMNH-188483,Leptobrachium montanum,Moen et al. 2016,terrestrial,m,52.99,70.31,NA,7.442,0.602,NA,NA,NA,NA
FMNH-188485,Leptobrachium montanum,Moen et al. 2016,terrestrial,m,68.66,84.69,NA,16.201,1.196,NA,NA,NA,NA
USNM-222275,Leptodactylus bolivianus,Moen et al. 2016,terrestrial,m,79.72,150.62,NA,36.336,7.4,NA,NA,NA,NA
USNM-222276,Leptodactylus bolivianus,Moen et al. 2016,terrestrial,m,81.38,145.74,NA,45.625,8.272,NA,NA,NA,NA
USNM-247338,Leptodactylus bolivianus,Moen et al. 2016,terrestrial,m,108.36,207.05,NA,122.451,20,NA,NA,NA,NA
USNM-247350,Leptodactylus bolivianus,Moen et al. 2016,terrestrial,m,107.3,195.41,NA,81.404,14.822,NA,NA,NA,NA
USNM-209217,Leptodactylus fuscus,Moen et al. 2016,terrestrial,m,42.36,75.78,NA,5.838,0.99,NA,NA,NA,NA
USNM-209218,Leptodactylus fuscus,Moen et al. 2016,terrestrial,m,45.75,79.42,NA,6.514,1.2,NA,NA,NA,NA
USNM-209219,Leptodactylus fuscus,Moen et al. 2016,terrestrial,m,43.28,76.7,NA,6.374,1.166,NA,NA,NA,NA
USNM-209220,Leptodactylus fuscus,Moen et al. 2016,terrestrial,m,46.65,79.87,NA,7.521,1.226,NA,NA,NA,NA
USNM-243685,Leptodactylus fuscus,Moen et al. 2016,terrestrial,m,47.28,80.4,NA,8.483,1.616,NA,NA,NA,NA
USNM-209224,Leptodactylus latrans,Moen et al. 2016,aquatic,m,105.43,181.01,NA,115.72,17.862,NA,NA,NA,NA
USNM-209227,Leptodactylus latrans,Moen et al. 2016,aquatic,m,99.77,186.42,NA,109.277,20.01,NA,NA,NA,NA
USNM-209228,Leptodactylus latrans,Moen et al. 2016,aquatic,m,101.45,186.08,NA,135.712,20.402,NA,NA,NA,NA
DSM-0051,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,30.78,53.63,3.08,2.485,0.464,2.697179,108.89324,1.423761,46.08402
DSM-0169,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,30.86,53.02,2.835,2.764,0.478,2.437316,89.486633,1.042827,33.746183
DSM-0170,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,30.42,50.7,2.236666667,2.094,0.286,2.194779,130.613134,1.144764,24.275949
DSM-0171,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,30.32,53.37,3.09,2.781,0.482,2.38539,87.423331,1.492727,48.167342
DSM-0173,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,32.12,55.36,3.433333333,3.348,0.576,2.149308,68.720641,1.564609,46.709728
DSM-0174,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,39.06,70.42,6.033333333,5.654,1.034,2.727921,105.692403,0.967813,18.738923
DSM-0184,Leptodactylus leptodactyloides,Moen et al. 2013,semi-aquatic,m,35.55,66.89,4.785,4.303,0.91,2.034625,47.03616,1.127583,34.759035
USNM-247374,Leptodactylus leptodactyloides,Moen et al. 2016,semi-aquatic,m,34.52,61.07,NA,3.38,0.514,NA,NA,NA,NA
USNM-247377,Leptodactylus leptodactyloides,Moen et al. 2016,semi-aquatic,m,38.56,71,NA,3.703,0.68,NA,NA,NA,NA
USNM-247383,Leptodactylus leptodactyloides,Moen et al. 2016,semi-aquatic,m,36.12,64.22,NA,3.634,0.626,NA,NA,NA,NA
USNM-247384,Leptodactylus leptodactyloides,Moen et al. 2016,semi-aquatic,m,37.27,68.59,NA,4.08,0.686,NA,NA,NA,NA
USNM-247396,Leptodactylus leptodactyloides,Moen et al. 2016,semi-aquatic,m,34.56,59.3,NA,3.182,0.55,NA,NA,NA,NA
USNM-307120,Leptodactylus petersii,Moen et al. 2016,semi-aquatic,m,26.36,46.69,NA,1.729,0.226,NA,NA,NA,NA
USNM-307122,Leptodactylus petersii,Moen et al. 2016,semi-aquatic,m,29.28,51.08,NA,2.352,0.314,NA,NA,NA,NA
USNM-332459,Leptodactylus petersii,Moen et al. 2016,semi-aquatic,m,31.07,51.04,NA,2.93,0.336,NA,NA,NA,NA
USNM-343255,Leptodactylus petersii,Moen et al. 2016,semi-aquatic,m,28.92,49.17,NA,1.655,0.25,NA,NA,NA,NA
DSM-0052,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,f,82.27,139.46,56.49666667,51.366,7.49,2.549799,48.197024,1.268837,19.319079
DSM-0053,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,79.47,134.72,49.02333333,48.257,6.98,2.498699,54.766504,1.343095,26.979903
DSM-0067,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,f,86.33,137.86,63,61.996,7.198,2.586182,54.324818,1.401949,32.02951
DSM-0101,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,70.16,119.22,31.35666667,29.049,5.07,2.703975,56.686222,1.303724,27.45509
DSM-0105,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,77.45,131.44,49.59666667,42.657,7.264,2.426254,60.268986,1.429436,29.560773
DSM-0107,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,69.23,121.6,30.12333333,26.775,5.266,2.480571,46.783197,1.583077,34.841061
DSM-0123,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,77.34,128.56,42.85,38.395,6.842,2.424556,72.716787,1.449141,26.915524
DSM-0124,Leptodactylus rhodomystax,Moen et al. 2013,terrestrial,m,59.63,101.56,16.4,13.554,2.484,2.248833,55.549557,1.322613,28.303296
CAS-177088,Leptopelis kivuensis,Moen et al. 2016,arboreal,m,32.74,53.98,NA,2.783,0.208,NA,NA,NA,NA
CAS-177089,Leptopelis kivuensis,Moen et al. 2016,arboreal,m,33.51,54.46,NA,2.96,0.208,NA,NA,NA,NA
CAS-177128,Leptopelis kivuensis,Moen et al. 2016,arboreal,m,33.69,60.19,NA,2.91,0.306,NA,NA,NA,NA
CAS-177130,Leptopelis kivuensis,Moen et al. 2016,arboreal,m,36.75,60.26,NA,3.5,0.34,NA,NA,NA,NA
CAS-177134,Leptopelis kivuensis,Moen et al. 2016,arboreal,m,32.12,53.62,NA,2.648,0.264,NA,NA,NA,NA
DSM-0226,Limnodynastes convexiusculus,Moen et al. 2013,terrestrial,f,51.42,76.58,12.96333333,11.01,1.128,2.049295,59.851868,0.790149,25.225987
DSM-0227,Limnodynastes convexiusculus,Moen et al. 2013,terrestrial,f,45.7,69.84,7.385,6.922,1.064,2.378373,67.417008,0.964724,22.35062
DSM-0228,Limnodynastes convexiusculus,Moen et al. 2013,terrestrial,f,41.08,63.89,6.463333333,5.042,0.748,2.046213,45.27039,0.740344,16.448299
DSM-0229,Limnodynastes convexiusculus,Moen et al. 2013,terrestrial,f,41.51,63.59,5.72,4.198,0.584,1.88937,68.689692,0.783692,35.4232
DSM-0246,Limnodynastes convexiusculus,Moen et al. 2013,terrestrial,f,40.36,62.71,5.78,3.578,0.496,2.198874,62.862894,0.796179,19.122374
FMNH-137233,Limnonectes ibanorum,Moen et al. 2016,semi-aquatic,m,64.2,117.4,NA,20.62,4.78,NA,NA,NA,NA
FMNH-144213,Limnonectes ibanorum,Moen et al. 2016,semi-aquatic,m,90.85,166.33,NA,63.095,15.494,NA,NA,NA,NA
FMNH-144290,Limnonectes ibanorum,Moen et al. 2016,semi-aquatic,m,72.36,133.44,NA,32.074,7.236,NA,NA,NA,NA
FMNH-146879,Limnonectes ibanorum,Moen et al. 2016,semi-aquatic,m,65.08,121.19,NA,23.766,4.0702,NA,NA,NA,NA
FMNH-146908,Limnonectes ibanorum,Moen et al. 2016,semi-aquatic,m,87.07,163.77,NA,50.336,12.704,NA,NA,NA,NA
FMNH-138715,Limnonectes kuhlii,Moen et al. 2016,semi-aquatic,m,49.46,81.1,NA,11.3325,1.9484,NA,NA,NA,NA
FMNH-138749,Limnonectes kuhlii,Moen et al. 2016,semi-aquatic,m,52.67,88.77,NA,15.883,3.502,NA,NA,NA,NA
FMNH-138755,Limnonectes kuhlii,Moen et al. 2016,semi-aquatic,m,44.57,76.56,NA,7.6991,1.388,NA,NA,NA,NA
FMNH-138757,Limnonectes kuhlii,Moen et al. 2016,semi-aquatic,m,43.26,75.42,NA,8.1941,1.5732,NA,NA,NA,NA
FMNH-138762,Limnonectes kuhlii,Moen et al. 2016,semi-aquatic,m,65.03,107.05,NA,25.438,4.3872,NA,NA,NA,NA
FMNH-136433,Limnonectes palavanensis,Moen et al. 2016,terrestrial,m,29.81,62.12,NA,2.366,0.5,NA,NA,NA,NA
FMNH-145651,Limnonectes palavanensis,Moen et al. 2016,terrestrial,m,28.88,58.53,NA,1.985,0.468,NA,NA,NA,NA
FMNH-145654,Limnonectes palavanensis,Moen et al. 2016,terrestrial,m,28.59,55.83,NA,1.904,0.446,NA,NA,NA,NA
FMNH-145659,Limnonectes palavanensis,Moen et al. 2016,terrestrial,m,30.3,61.77,NA,2.454,0.658,NA,NA,NA,NA
FMNH-148351,Limnonectes palavanensis,Moen et al. 2016,terrestrial,m,28.61,56.43,NA,2.28,0.466,NA,NA,NA,NA
DSM-0266,Litoria bicolor,Moen et al. 2013,arboreal,m,23.89,37.31,0.636666667,0.514,0.05,2.663186,125.27586,1.345117,36.463125
DSM-0268,Litoria bicolor,Moen et al. 2013,arboreal,m,25.02,39.08,0.716666667,0.603,0.068,2.473673,90.108038,1.348637,54.206422
DSM-0271,Litoria bicolor,Moen et al. 2013,arboreal,f,27.28,44.76,0.86,0.649,0.082,2.584009,89.241404,1.279182,40.94264
DSM-0272,Litoria bicolor,Moen et al. 2013,arboreal,m,23.85,37.83,0.62,0.402,0.058,2.171596,86.829313,1.290201,39.063068
DSM-0273,Litoria bicolor,Moen et al. 2013,arboreal,f,28.13,44.93,1.105,0.846,0.112,2.945344,89.201258,1.09991,26.606031
DSM-0274,Litoria bicolor,Moen et al. 2013,arboreal,f,27.15,41.94,1.03,0.784,0.092,2.680957,91.697688,1.346132,40.071359
DSM-0275,Litoria bicolor,Moen et al. 2013,arboreal,f,24.89,39.39,0.83,0.616,0.09,2.749647,102.149332,1.34965,59.880663
DSM-0235,Litoria caerulea,Moen et al. 2013,arboreal,f,69.61,106.86,21.06,15.861,1.558,2.661149,48.182443,0.739183,18.593086
DSM-0282,Litoria caerulea,Moen et al. 2013,arboreal,m,68.4,105.79,22.89,22.3,2.086,2.959277,42.951405,0.967365,20.600424
DSM-0283,Litoria caerulea,Moen et al. 2013,arboreal,m,75.34,110.65,25.445,24.984,1.952,2.568247,40.319363,0.85935,10.681621
DSM-0284,Litoria caerulea,Moen et al. 2013,arboreal,m,74.27,108.39,26.76666667,23.496,2.218,2.559288,33.025118,1.05529,21.179026
DSM-0293,Litoria caerulea,Moen et al. 2013,arboreal,m,73.87,112.47,31.28,30.275,2.454,2.11613,25.809034,1.044631,24.233938
DSM-0303,Litoria caerulea,Moen et al. 2013,arboreal,m,79.16,112.43,36.36,39.714,3.206,2.432135,46.248322,1.170604,22.693857
DSM-0230,Litoria dahlii,Moen et al. 2013,aquatic,f,53.5,92.64,13.81,9.514,1.508,2.358272,54.726268,1.65612,34.238127
DSM-0231,Litoria dahlii,Moen et al. 2013,aquatic,m,59.02,99.67,17.79333333,14.93,2.572,2.873103,73.136634,2.237646,65.143047
DSM-0232,Litoria dahlii,Moen et al. 2013,aquatic,f,51.87,89.33,10.50666667,8.413,1.174,2.426849,61.286856,1.978821,54.605839
DSM-0233,Litoria dahlii,Moen et al. 2013,aquatic,f,57.56,99.21,13.49,10.917,2.114,2.605952,48.689704,1.872026,34.147683
DSM-0234,Litoria dahlii,Moen et al. 2013,aquatic,f,58.66,103.36,17.29,14.384,2.176,2.731143,52.165379,1.343215,30.373164
DSM-0277,Litoria dahlii,Moen et al. 2013,aquatic,m,46.47,74.58,9.073333333,7.539,1.034,2.551108,69.625028,1.693947,48.936152
DSM-0278,Litoria dahlii,Moen et al. 2013,aquatic,m,49.34,83.74,8.356666667,6.505,0.886,2.870668,77.912431,1.507396,50.021444
DSM-0285,Litoria dahlii,Moen et al. 2013,aquatic,m,55.35,100.11,14.39666667,11.703,2.014,2.479898,62.700941,1.538514,42.270071
DSM-0294,Litoria inermis,Moen et al. 2013,terrestrial,f,33.03,59.22,3.143333333,2.429,0.404,2.739033,85.357753,1.201598,53.799002
DSM-0212,Litoria nasuta,Moen et al. 2013,terrestrial,m,37.51,75.86,3.896666667,2.926,0.524,3.317963,106.792041,1.600595,30.020929
DSM-0214,Litoria nasuta,Moen et al. 2013,terrestrial,m,38.67,80.14,4.386666667,3.506,0.746,3.623121,153.495491,1.618017,36.904657
DSM-0215,Litoria nasuta,Moen et al. 2013,terrestrial,m,38.09,76.21,4.353333333,3.433,0.812,4.140857,143.133413,1.572069,43.367337
DSM-0216,Litoria nasuta,Moen et al. 2013,terrestrial,m,38.8,78.23,4.5,3.428,0.798,4.143036,164.267116,2.027285,56.971396
DSM-0218,Litoria nasuta,Moen et al. 2013,terrestrial,m,38.79,86.06,4.345,3.206,0.732,4.112993,127.62115,1.901108,49.792275
DSM-0219,Litoria nasuta,Moen et al. 2013,terrestrial,m,34.82,72.57,3.276666667,2.224,0.434,3.807489,133.248482,1.898706,56.246853
DSM-0220,Litoria nasuta,Moen et al. 2013,terrestrial,m,36.19,77.17,3.86,2.884,0.602,3.919218,136.824044,1.825389,48.605325
DSM-0222,Litoria pallida,Moen et al. 2013,terrestrial,m,34.46,62.23,3.373333333,2.423,0.53,3.012977,96.707447,1.293058,35.711947
DSM-0276,Litoria pallida,Moen et al. 2013,terrestrial,m,36.25,68.72,3.83,3.345,0.658,4.1498,143.444399,1.713666,62.070495
DSM-0202,Litoria rothii,Moen et al. 2013,arboreal,f,46.81,81.15,5.71,4.452,0.572,3.137123,74.798233,1.614303,33.165636
DSM-0204,Litoria rothii,Moen et al. 2013,arboreal,m,43.22,74.42,4.546666667,3.481,0.532,3.656779,91.766162,1.195748,28.885016
DSM-0248,Litoria rothii,Moen et al. 2013,arboreal,m,43.04,74.48,4.486666667,3.388,0.474,3.648481,78.394796,1.168777,22.293219
DSM-0249,Litoria rothii,Moen et al. 2013,arboreal,m,45.99,78.47,5.6,4.416,0.632,3.429033,82.642783,1.628201,50.751384
DSM-0252,Litoria rothii,Moen et al. 2013,arboreal,f,46.88,83.18,8.156666667,6.327,0.818,3.055566,117.839807,1.302091,38.699603
DSM-0253,Litoria rothii,Moen et al. 2013,arboreal,m,45.18,77.29,5.82,4.428,0.59,3.227591,95.767161,1.235823,20.940531
DSM-0194,Litoria rubella,Moen et al. 2013,arboreal,m,29.4,40.82,1.6,1.11,0.138,2.197755,75.686377,1.036055,29.83287
DSM-0197,Litoria rubella,Moen et al. 2013,arboreal,m,31.96,42.03,1.69,1.3,0.14,2.032104,73.891012,0.822646,21.472516
DSM-0198,Litoria rubella,Moen et al. 2013,arboreal,f,30.22,42.47,1.736666667,1.11,0.096,2.066931,65.419574,0.895809,29.259934
DSM-0201,Litoria rubella,Moen et al. 2013,arboreal,m,30.11,41.32,1.473333333,0.932,0.12,2.000049,64.92659,0.862664,28.43734
DSM-0247,Litoria rubella,Moen et al. 2013,arboreal,m,30.91,40.56,1.773333333,1.118,0.138,2.361443,79.937194,0.92825,35.112079
DSM-0254,Litoria rubella,Moen et al. 2013,arboreal,m,30.02,41.82,1.57,1.001,0.114,2.140273,59.127917,0.89705,30.021313
DSM-0221,Litoria tornieri,Moen et al. 2013,terrestrial,f,30.24,60.9,2.133333333,1.623,0.282,2.807575,100.638929,1.675097,53.654147
DSM-0240,Litoria tornieri,Moen et al. 2013,terrestrial,m,29.86,58.7,2.283333333,1.685,0.334,3.091093,129.293848,1.640367,47.37587
DSM-0262,Litoria tornieri,Moen et al. 2013,terrestrial,m,31.08,60.83,2.72,1.574,0.256,3.336419,133.851508,1.982906,79.515061
DSM-0263,Litoria tornieri,Moen et al. 2013,terrestrial,m,30.43,56.82,1.863333333,1.274,0.186,3.258205,115.886582,1.541933,34.10485
DSM-0288,Litoria tornieri,Moen et al. 2013,terrestrial,m,30.33,58.98,2.49,1.887,0.356,3.354736,122.316483,1.382628,36.614516
DSM-0290,Litoria tornieri,Moen et al. 2013,terrestrial,m,30.58,58.39,2.326666667,1.838,0.368,2.894743,128.141171,1.857059,57.956249
DSM-0291,Litoria tornieri,Moen et al. 2013,terrestrial,m,31.16,60.53,2.4,1.78,0.336,3.05614,108.173136,1.658504,58.081731
DSM-0306,Litoria tornieri,Moen et al. 2013,terrestrial,m,32.22,61.42,2.56,2.078,0.386,3.304202,145.944814,1.834277,40.767987
