specimen.tag,species,study,microhabitat,sex,SVL,leg.length,live.mass,pr.mass,pr.leg.muscle.mass,jump.maxvel,jump.maxacc,swim.maxvel,swim.maxacc
USNM-534853,Pseudacris crucifer,Moen et al. 2016,arboreal,m,29.43,43.37,NA,1.99,0.188,NA,NA,NA,NA
USNM-534855,Pseudacris crucifer,Moen et al. 2016,arboreal,m,28.77,40.49,NA,1.893,0.166,NA,NA,NA,NA
USNM-534861,Pseudacris crucifer,Moen et al. 2016,arboreal,m,27.73,40.18,NA,1.727,0.136,NA,NA,NA,NA
USNM-98175,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,39.73,81.07,NA,7.182,1.566,NA,NA,NA,NA
USNM-98179,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,41.61,87.87,NA,11.163,2.568,NA,NA,NA,NA
USNM-98190,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,40.68,80.51,NA,7.66,1.84,NA,NA,NA,NA
USNM-98191,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,39.45,79.41,NA,6.595,1.446,NA,NA,NA,NA
USNM-98202,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,40.65,85.75,NA,8.972,1.984,NA,NA,NA,NA
USNM-302984,Pseudis paradoxa,Moen et al. 2016,aquatic,m,46.65,101.12,NA,16.324,3.004,NA,NA,NA,NA
USNM-302985,Pseudis paradoxa,Moen et al. 2016,aquatic,m,57.08,121.65,NA,32.357,6.004,NA,NA,NA,NA
USNM-302986,Pseudis paradoxa,Moen et al. 2016,aquatic,m,52.06,104.76,NA,24.066,4.396,NA,NA,NA,NA
USNM-302987,Pseudis paradoxa,Moen et al. 2016,aquatic,m,48.42,97.49,NA,18.573,3.512,NA,NA,NA,NA
USNM-341878,Pseudis paradoxa,Moen et al. 2016,aquatic,m,50.32,92.43,NA,15.858,3.072,NA,NA,NA,NA
FMNH-218111,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,19.81,32.67,NA,0.4384,0.0296,NA,NA,NA,NA
FMNH-218112,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,20.62,34.15,NA,0.4617,0.0354,NA,NA,NA,NA
FMNH-218113,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,22.54,33.8,NA,0.5346,0.0384,NA,NA,NA,NA
FMNH-218115,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,23.38,36.05,NA,0.6235,0.0476,NA,NA,NA,NA
FMNH-218116,Pseudophilautus femoralis,Moen et al. 2016,arboreal,f,23.17,37.04,NA,0.7988,0.052,NA,NA,NA,NA
CAS-176978,Ptychadena chrysogaster,Moen et al. 2016,terrestrial,m,44.62,101.42,NA,9.325,2.266,NA,NA,NA,NA
CAS-176982,Ptychadena chrysogaster,Moen et al. 2016,terrestrial,m,44.01,93.31,NA,8.33,1.894,NA,NA,NA,NA
CAS-176983,Ptychadena chrysogaster,Moen et al. 2016,terrestrial,m,47.19,105.88,NA,9.238,2.336,NA,NA,NA,NA
MCZ-A120123,Ptychadena mascareniensis,Moen et al. 2016,semi-aquatic,m,33.62,63.26,NA,3.759,0.538,NA,NA,NA,NA
MCZ-A120138,Ptychadena mascareniensis,Moen et al. 2016,semi-aquatic,m,36.39,69.35,NA,4.986,1.026,NA,NA,NA,NA
KU-186480,Ptychohyla hypomykter,Moen et al. 2016,arboreal,m,36.86,60.93,NA,3.03,0.328,NA,NA,NA,NA
KU-190309,Ptychohyla hypomykter,Moen et al. 2016,arboreal,m,32.37,56.19,NA,1.951,0.246,NA,NA,NA,NA
KU-190310,Ptychohyla hypomykter,Moen et al. 2016,arboreal,m,32.84,56.46,NA,2.131,0.266,NA,NA,NA,NA
KU-190311,Ptychohyla hypomykter,Moen et al. 2016,arboreal,m,31.18,52.45,NA,1.899,0.228,NA,NA,NA,NA
KU-190313,Ptychohyla hypomykter,Moen et al. 2016,arboreal,m,36.42,61.45,NA,2.443,0.318,NA,NA,NA,NA
KU-186680,Rana berlandieri,Moen et al. 2016,semi-aquatic,m,58.63,116.81,NA,20.114,3.64,NA,NA,NA,NA
KU-190446,Rana berlandieri,Moen et al. 2016,semi-aquatic,m,64.19,127.35,NA,28.457,5.82,NA,NA,NA,NA
KU-190447,Rana berlandieri,Moen et al. 2016,semi-aquatic,m,63.58,128.46,NA,24.547,5.672,NA,NA,NA,NA
KU-190449,Rana berlandieri,Moen et al. 2016,semi-aquatic,m,53.74,100.93,NA,13.865,2.456,NA,NA,NA,NA
KU-190450,Rana berlandieri,Moen et al. 2016,semi-aquatic,m,60.73,109.29,NA,21.525,4.028,NA,NA,NA,NA
USNM-230366,Rana catesbeiana,Moen et al. 2016,semi-aquatic,m,94.91,152.57,NA,74.161,13.106,NA,NA,NA,NA
USNM-292158,Rana catesbeiana,Moen et al. 2016,semi-aquatic,m,92.89,157.78,NA,67.686,11.12,NA,NA,NA,NA
USNM-536602,Rana catesbeiana,Moen et al. 2016,semi-aquatic,m,88.88,140.22,NA,56.416,11.686,NA,NA,NA,NA
USNM-536604,Rana catesbeiana,Moen et al. 2016,semi-aquatic,m,91.78,143.89,NA,66.936,11.556,NA,NA,NA,NA
USNM-536618,Rana catesbeiana,Moen et al. 2016,semi-aquatic,m,83.71,128.4,NA,50.775,6.028,NA,NA,NA,NA
USNM-514955,Rana clamitans,Moen et al. 2016,semi-aquatic,m,60.62,100.79,NA,20.045,3.058,NA,NA,NA,NA
USNM-514956,Rana clamitans,Moen et al. 2016,semi-aquatic,m,62.11,100.95,NA,18.972,2.594,NA,NA,NA,NA
USNM-514971,Rana clamitans,Moen et al. 2016,semi-aquatic,m,68.79,109.57,NA,31.262,4.238,NA,NA,NA,NA
USNM-537178,Rana clamitans,Moen et al. 2016,semi-aquatic,m,59.05,97.26,NA,16.786,2.382,NA,NA,NA,NA
USNM-537200,Rana clamitans,Moen et al. 2016,semi-aquatic,m,75.86,127.34,NA,42.552,6.64,NA,NA,NA,NA
USNM-514988,Rana palustris,Moen et al. 2016,semi-aquatic,m,47.68,84.81,NA,7.896,1.318,NA,NA,NA,NA
USNM-515001,Rana palustris,Moen et al. 2016,semi-aquatic,m,45.05,83.57,NA,6.749,0.962,NA,NA,NA,NA
USNM-515003,Rana palustris,Moen et al. 2016,semi-aquatic,m,42.1,80.68,NA,6.309,0.758,NA,NA,NA,NA
USNM-515007,Rana palustris,Moen et al. 2016,semi-aquatic,m,43.49,81.25,NA,7.146,1.09,NA,NA,NA,NA
USNM-515008,Rana palustris,Moen et al. 2016,semi-aquatic,m,44.2,79.03,NA,6.508,0.938,NA,NA,NA,NA
USNM-538949,Rana sphenocephala,Moen et al. 2016,semi-aquatic,m,62.36,118.91,NA,26.01,4.938,NA,NA,NA,NA
USNM-538953,Rana sphenocephala,Moen et al. 2016,semi-aquatic,m,59.91,109.52,NA,21.393,4.106,NA,NA,NA,NA
USNM-538962,Rana sphenocephala,Moen et al. 2016,semi-aquatic,m,55.77,99.59,NA,17.36,3.084,NA,NA,NA,NA
USNM-538963,Rana sphenocephala,Moen et al. 2016,semi-aquatic,m,57.6,96.5,NA,16.627,2.412,NA,NA,NA,NA
USNM-538970,Rana sphenocephala,Moen et al. 2016,semi-aquatic,m,59.01,110.91,NA,20.488,3.83,NA,NA,NA,NA
FMNH-218102,Raorchestes charius,Moen et al. 2016,terrestrial,f,21.34,36.18,NA,0.59,0.061,NA,NA,NA,NA
FMNH-218105,Raorchestes charius,Moen et al. 2016,terrestrial,m,17.31,28.69,NA,0.2288,0.0252,NA,NA,NA,NA
FMNH-218106,Raorchestes charius,Moen et al. 2016,terrestrial,f,20.67,32.11,NA,0.5238,0.0398,NA,NA,NA,NA
FMNH-218107,Raorchestes charius,Moen et al. 2016,terrestrial,m,18.08,27.91,NA,0.2894,0.0306,NA,NA,NA,NA
FMNH-139356,Rentapia hosii,Moen et al. 2016,arboreal,m,71.69,109.72,NA,24.6763,1.647,NA,NA,NA,NA
FMNH-139357,Rentapia hosii,Moen et al. 2016,arboreal,m,69.24,111.49,NA,24.874,1.7906,NA,NA,NA,NA
FMNH-145641,Rentapia hosii,Moen et al. 2016,arboreal,m,75.7,120.74,NA,29.6284,3.1746,NA,NA,NA,NA
FMNH-145645,Rentapia hosii,Moen et al. 2016,arboreal,m,70.18,118.2,NA,23.0491,2.115,NA,NA,NA,NA
FMNH-145647,Rentapia hosii,Moen et al. 2016,arboreal,m,65.85,108.89,NA,18.8661,1.7614,NA,NA,NA,NA
FMNH-218143,Rentapia tuberculosus,Moen et al. 2016,arboreal,f,37.41,48.8,NA,1.9195,0.1076,NA,NA,NA,NA
FMNH-218144,Rentapia tuberculosus,Moen et al. 2016,arboreal,f,38.86,54.6,NA,2.8266,0.1574,NA,NA,NA,NA
KIZ-04102,Rhacophorus dugritei,Moen et al. 2013,terrestrial,m,42.64,61.67,5.07,3.66,0.26,1.813203,28.053031,0.424031,9.292652
KIZ-04104,Rhacophorus dugritei,Moen et al. 2013,terrestrial,m,38.71,61.8,3.81,2.91,0.32,1.657449,35.045773,0.692611,18.747881
KIZ-04168,Rhacophorus dugritei,Moen et al. 2013,terrestrial,f,43.1,64.66,4.93,3.7,0.26,1.784126,42.244708,0.815494,23.270605
KIZ-04176,Rhacophorus dugritei,Moen et al. 2013,terrestrial,f,35.85,59.26,3.27,2.15,0.12,1.687451,33.928559,0.757662,18.46617
KIZ-04201,Rhacophorus dugritei,Moen et al. 2013,terrestrial,m,38.05,57.76,4.17,2.84,0.22,1.704576,38.671731,1.162217,30.890393
FMNH-137942,Rhacophorus harrissoni,Moen et al. 2016,arboreal,m,50.36,89.26,NA,6.593,0.92,NA,NA,NA,NA
FMNH-137946,Rhacophorus harrissoni,Moen et al. 2016,arboreal,m,54.19,95.38,NA,7.838,1.07,NA,NA,NA,NA
FMNH-137948,Rhacophorus harrissoni,Moen et al. 2016,arboreal,m,52.62,87.18,NA,7.269,0.92,NA,NA,NA,NA
FMNH-217715,Rhacophorus malabaricus,Moen et al. 2016,arboreal,m,62.55,101.8,NA,7.6285,0.804,NA,NA,NA,NA
FMNH-217716,Rhacophorus malabaricus,Moen et al. 2016,arboreal,m,73.67,120.12,NA,12.3962,1.2782,NA,NA,NA,NA
FMNH-217717,Rhacophorus malabaricus,Moen et al. 2016,arboreal,m,72.8,126.52,NA,12.158,1.369,NA,NA,NA,NA
FMNH-230904,Rhacophorus nigropalmatus,Moen et al. 2016,arboreal,m,88.38,162.61,NA,27.32,3.722,NA,NA,NA,NA
FMNH-230906,Rhacophorus nigropalmatus,Moen et al. 2016,arboreal,m,87.98,157.18,NA,25.723,3.052,NA,NA,NA,NA
FMNH-230908,Rhacophorus nigropalmatus,Moen et al. 2016,arboreal,m,91.1,164.71,NA,24.267,3.596,NA,NA,NA,NA
FMNH-230909,Rhacophorus nigropalmatus,Moen et al. 2016,arboreal,m,88.42,161.97,NA,27.196,3.128,NA,NA,NA,NA
FMNH-245934,Rhacophorus nigropalmatus,Moen et al. 2016,arboreal,m,81.61,158.76,NA,23.317,3.41,NA,NA,NA,NA
FMNH-145331,Rhacophorus pardalis,Moen et al. 2016,arboreal,m,58.28,106.27,NA,7.469,1.038,NA,NA,NA,NA
FMNH-145348,Rhacophorus pardalis,Moen et al. 2016,arboreal,m,54.27,102.57,NA,6.208,0.854,NA,NA,NA,NA
FMNH-145352,Rhacophorus pardalis,Moen et al. 2016,arboreal,m,52.6,96.52,NA,6.199,0.898,NA,NA,NA,NA
FMNH-146215,Rhacophorus pardalis,Moen et al. 2016,arboreal,m,54.93,94.53,NA,7.673,0.986,NA,NA,NA,NA
FMNH-146216,Rhacophorus pardalis,Moen et al. 2016,arboreal,m,55.83,99.99,NA,6.347,0.778,NA,NA,NA,NA
KIZ-04130,Rhacophorus rhodopus,Moen et al. 2013,arboreal,m,35.34,56.69,1.9,1.67,0.08,1.814836,38.816059,1.032513,21.084336
KIZ-04131,Rhacophorus rhodopus,Moen et al. 2013,arboreal,m,36.43,55.79,2.45,1.99,0.12,1.658924,31.541102,0.707555,17.506193
KIZ-04149,Rhacophorus rhodopus,Moen et al. 2013,arboreal,m,35.45,58.21,2.54,1.4,0.06,2.585222,49.410538,0.811396,16.870797
KIZ-04166,Rhacophorus rhodopus,Moen et al. 2013,arboreal,f,34.31,56.9,2.2,1.42,0.12,1.977963,42.492224,0.914429,24.447436
KIZ-04181,Rhacophorus rhodopus,Moen et al. 2013,arboreal,m,35.06,54.39,2.49,1.68,0.1,2.159466,49.761436,0.876265,24.147417
KIZ-04186,Rhacophorus rhodopus,Moen et al. 2013,arboreal,f,34.63,57.05,2.03,1.46,0.08,1.952744,46.096377,0.938556,24.110033
USNM-207679,Rhinella icterica,Moen et al. 2016,terrestrial,m,112.35,179.52,NA,156.552,10.824,NA,NA,NA,NA
USNM-208695,Rhinella icterica,Moen et al. 2016,terrestrial,m,124.21,173.93,NA,205.361,13.834,NA,NA,NA,NA
USNM-208700,Rhinella icterica,Moen et al. 2016,terrestrial,m,136.7,194.4,NA,270.977,20.39,NA,NA,NA,NA
DSM-0041,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,52.99,80.51,12.30333333,9.573,1.092,1.91802,40.203565,0.621363,14.963849
DSM-0042,Rhinella margaritifera,Moen et al. 2013,terrestrial,f,51.35,77.94,13.33,9.15,0.794,1.861402,35.853471,0.401191,6.448756
DSM-0089,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,52.45,74.32,10.48,9.825,1.018,1.795928,40.788042,0.489673,8.465402
DSM-0090,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,52.11,76.91,10.68333333,10.301,1.004,1.517416,25.921682,0.518279,5.792579
DSM-0091,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,50.35,78,10.83333333,9.822,1.084,1.519987,37.286025,0.528649,6.002963
DSM-0093,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,50.14,74.91,10.41333333,8.96,0.878,1.74174,35.15959,0.485977,9.739349
DSM-0095,Rhinella margaritifera,Moen et al. 2013,terrestrial,m,54.31,78.74,13.70666667,12.219,1.276,1.704811,31.016131,0.636085,7.693463
USNM-247058,Rhinella margaritifera,Moen et al. 2016,terrestrial,m,37,49.86,NA,3.806,0.2,NA,NA,NA,NA
USNM-247059,Rhinella margaritifera,Moen et al. 2016,terrestrial,m,36.09,49.67,NA,2.256,0.152,NA,NA,NA,NA
USNM-247060,Rhinella margaritifera,Moen et al. 2016,terrestrial,m,36.52,52.29,NA,3.121,0.17,NA,NA,NA,NA
USNM-284250,Rhinella margaritifera,Moen et al. 2016,terrestrial,m,35.3,51.94,NA,4.506,0.24,NA,NA,NA,NA
USNM-222138,Rhinella poeppigii,Moen et al. 2016,terrestrial,m,96.21,144.7,NA,116.91,9.49,NA,NA,NA,NA
USNM-247026,Rhinella poeppigii,Moen et al. 2016,terrestrial,m,97.42,157.78,NA,88.723,7.45,NA,NA,NA,NA
USNM-268821,Rhinella poeppigii,Moen et al. 2016,terrestrial,m,93.77,142.26,NA,88.463,7.554,NA,NA,NA,NA
DSM-0098,Rhinella proboscidea,Moen et al. 2013,terrestrial,m,50.63,75.9,9.276666667,9.916,0.922,1.434927,29.123609,0.569443,10.885027
DSM-0108,Rhinella proboscidea,Moen et al. 2013,terrestrial,m,31.48,44.68,2.47,1.939,0.144,1.238604,26.996497,0.349418,7.356948
MCZ-A120109,Scaphiophryne marmorata,Moen et al. 2016,terrestrial,m,43.99,69.36,NA,6.488,0.666,NA,NA,NA,NA
USNM-529893,Scaphiopus holbrookii,Moen et al. 2016,burrowing,m,62.62,81.81,NA,27.153,2.694,NA,NA,NA,NA
USNM-529901,Scaphiopus holbrookii,Moen et al. 2016,burrowing,m,64.95,82.83,NA,29.699,2.492,NA,NA,NA,NA
USNM-529903,Scaphiopus holbrookii,Moen et al. 2016,burrowing,m,67.38,87.18,NA,34.886,3.142,NA,NA,NA,NA
USNM-529910,Scaphiopus holbrookii,Moen et al. 2016,burrowing,m,62.34,77,NA,27.239,2.466,NA,NA,NA,NA
USNM-529913,Scaphiopus holbrookii,Moen et al. 2016,burrowing,m,57.73,74.45,NA,24.748,2.046,NA,NA,NA,NA
USNM-209006,Scinax crospedospilus,Moen et al. 2016,arboreal,m,31.46,52.31,NA,1.718,0.162,NA,NA,NA,NA
USNM-209016,Scinax crospedospilus,Moen et al. 2016,arboreal,m,30.45,49.22,NA,1.544,0.16,NA,NA,NA,NA
USNM-243622,Scinax crospedospilus,Moen et al. 2016,arboreal,m,31.02,49.76,NA,1.183,0.158,NA,NA,NA,NA
USNM-243628,Scinax crospedospilus,Moen et al. 2016,arboreal,m,31.06,49.24,NA,1.313,0.166,NA,NA,NA,NA
USNM-243637,Scinax crospedospilus,Moen et al. 2016,arboreal,m,31.67,52.39,NA,1.421,0.158,NA,NA,NA,NA
USNM-247216,Scinax garbei,Moen et al. 2016,arboreal,m,38.87,67.31,NA,2.645,0.442,NA,NA,NA,NA
USNM-268906,Scinax garbei,Moen et al. 2016,arboreal,m,32.99,65.14,NA,1.895,0.206,NA,NA,NA,NA
USNM-346331,Scinax garbei,Moen et al. 2016,arboreal,m,35.61,67.33,NA,2.242,0.294,NA,NA,NA,NA
USNM-537709,Scinax garbei,Moen et al. 2016,arboreal,m,37.44,65.78,NA,2.311,0.324,NA,NA,NA,NA
USNM-537710,Scinax garbei,Moen et al. 2016,arboreal,m,39.04,70.95,NA,3.27,0.42,NA,NA,NA,NA
USNM-209023,Scinax hayii,Moen et al. 2016,arboreal,m,36.86,64.22,NA,3.428,0.334,NA,NA,NA,NA
USNM-209025,Scinax hayii,Moen et al. 2016,arboreal,m,41.79,68.33,NA,3.946,0.45,NA,NA,NA,NA
USNM-209028,Scinax hayii,Moen et al. 2016,arboreal,m,40.46,66.62,NA,3.63,0.412,NA,NA,NA,NA
USNM-209032,Scinax hayii,Moen et al. 2016,arboreal,m,40.88,64.9,NA,3.295,0.382,NA,NA,NA,NA
USNM-209046,Scinax hayii,Moen et al. 2016,arboreal,m,42.42,73.08,NA,3.939,0.388,NA,NA,NA,NA
USNM-222198,Scinax ictericus,Moen et al. 2016,arboreal,m,28.66,47.8,NA,1.103,0.146,NA,NA,NA,NA
USNM-222201,Scinax ictericus,Moen et al. 2016,arboreal,m,29.67,48.8,NA,1.955,0.15,NA,NA,NA,NA
USNM-247205,Scinax ictericus,Moen et al. 2016,arboreal,m,25.62,41.48,NA,0.719,0.092,NA,NA,NA,NA
USNM-247242,Scinax ictericus,Moen et al. 2016,arboreal,m,33.07,52.37,NA,1.643,0.182,NA,NA,NA,NA
USNM-247243,Scinax ictericus,Moen et al. 2016,arboreal,m,31.93,51.15,NA,1.518,0.2,NA,NA,NA,NA
DSM-0068,Scinax ruber,Moen et al. 2013,arboreal,m,30.43,50.92,1.77,1.451,0.168,3.02429,89.295474,0.993285,19.739163
DSM-0069,Scinax ruber,Moen et al. 2013,arboreal,m,29.31,47.42,1.58,1.439,0.174,2.616096,99.461092,1.43678,45.308762
DSM-0070,Scinax ruber,Moen et al. 2013,arboreal,m,29.86,49.9,1.78,1.42,0.15,2.878497,86.629333,1.350379,39.528397
DSM-0073,Scinax ruber,Moen et al. 2013,arboreal,m,32.17,48,1.926666667,1.775,0.22,2.734606,104.962058,1.067336,24.748168
DSM-0075,Scinax ruber,Moen et al. 2013,arboreal,m,29.94,49.72,1.96,1.623,0.17,2.413474,89.563142,1.013025,27.568656
DSM-0076,Scinax ruber,Moen et al. 2013,arboreal,f,33.01,54.7,2.576666667,2.388,0.236,2.679649,86.999237,0.864403,27.039313
CAS-176985,Sclerophrys kisoloensis,Moen et al. 2016,terrestrial,m,74.67,111.36,NA,43.142,4.146,NA,NA,NA,NA
CAS-176994,Sclerophrys kisoloensis,Moen et al. 2016,terrestrial,m,67.16,105.23,NA,34.679,3.266,NA,NA,NA,NA
CAS-176995,Sclerophrys kisoloensis,Moen et al. 2016,terrestrial,m,66.66,105.52,NA,38.943,3.57,NA,NA,NA,NA
CAS-176996,Sclerophrys kisoloensis,Moen et al. 2016,terrestrial,m,63.44,88.77,NA,31.778,2.932,NA,NA,NA,NA
CAS-176999,Sclerophrys kisoloensis,Moen et al. 2016,terrestrial,m,67.52,100.78,NA,36.263,3.374,NA,NA,NA,NA
DSM-0047,Sphaenorhynchus lacteus,Moen et al. 2013,arboreal,f,38.86,64.17,5.175,4.788,0.592,2.472752,61.040762,1.203139,29.617988
USNM-247280,Sphaenorhynchus lacteus,Moen et al. 2016,arboreal,m,37.41,60.27,NA,3.987,0.456,NA,NA,NA,NA
USNM-247281,Sphaenorhynchus lacteus,Moen et al. 2016,arboreal,m,37.77,60.49,NA,3.628,0.396,NA,NA,NA,NA
USNM-268928,Sphaenorhynchus lacteus,Moen et al. 2016,arboreal,m,36.4,62.31,NA,3.416,0.316,NA,NA,NA,NA
USNM-268929,Sphaenorhynchus lacteus,Moen et al. 2016,arboreal,m,33.25,56.22,NA,3.492,0.402,NA,NA,NA,NA
USNM-268931,Sphaenorhynchus lacteus,Moen et al. 2016,arboreal,m,36.13,61.88,NA,3.322,0.35,NA,NA,NA,NA
FMNH-136034,Staurois guttatus,Moen et al. 2016,torrential,m,35.76,66.49,NA,2.577,0.454,NA,NA,NA,NA
FMNH-136038,Staurois guttatus,Moen et al. 2016,torrential,m,34.02,66.31,NA,2.686,0.44,NA,NA,NA,NA
FMNH-136045,Staurois guttatus,Moen et al. 2016,torrential,m,34.39,69.22,NA,2.461,0.386,NA,NA,NA,NA
FMNH-136053,Staurois guttatus,Moen et al. 2016,torrential,m,32.96,65.81,NA,2.324,0.446,NA,NA,NA,NA
FMNH-136075,Staurois guttatus,Moen et al. 2016,torrential,m,35.93,69.86,NA,2.614,0.47,NA,NA,NA,NA
USNM-209326,Thoropa taophora,Moen et al. 2016,arboreal,m,56.33,107.81,NA,15.573,1.896,NA,NA,NA,NA
USNM-209334,Thoropa taophora,Moen et al. 2016,arboreal,m,59.98,110.09,NA,15.146,2.116,NA,NA,NA,NA
USNM-209338,Thoropa taophora,Moen et al. 2016,arboreal,m,55.15,105.64,NA,12.064,1.496,NA,NA,NA,NA
USNM-209341,Thoropa taophora,Moen et al. 2016,arboreal,m,65.48,122.11,NA,18.838,2.272,NA,NA,NA,NA
USNM-209349,Thoropa taophora,Moen et al. 2016,arboreal,m,52.61,101.16,NA,14.778,1.586,NA,NA,NA,NA
CAS-165505,Tomopterna cryptotis,Moen et al. 2016,burrowing,m,40,59.45,NA,4.62,0.412,NA,NA,NA,NA
CAS-165508,Tomopterna cryptotis,Moen et al. 2016,burrowing,m,36.94,51.53,NA,4.25,0.31,NA,NA,NA,NA
CAS-165509,Tomopterna cryptotis,Moen et al. 2016,burrowing,m,39.66,56.93,NA,3.949,0.288,NA,NA,NA,NA
CAS-175447,Tomopterna cryptotis,Moen et al. 2016,burrowing,m,37.19,59.39,NA,5.593,0.614,NA,NA,NA,NA
CAS-175449,Tomopterna cryptotis,Moen et al. 2016,burrowing,m,42.49,65.41,NA,8.205,0.862,NA,NA,NA,NA
USNM-247254,Trachycephalus venulosus,Moen et al. 2016,arboreal,m,72.62,112.42,NA,16.762,1.486,NA,NA,NA,NA
USNM-247255,Trachycephalus venulosus,Moen et al. 2016,arboreal,m,64.54,105.9,NA,18.693,1.518,NA,NA,NA,NA
USNM-247616,Trachycephalus venulosus,Moen et al. 2016,arboreal,m,63.17,104.32,NA,16.206,1.5,NA,NA,NA,NA
USNM-343219,Trachycephalus venulosus,Moen et al. 2016,arboreal,m,69.11,110.65,NA,19.955,1.928,NA,NA,NA,NA
FMNH-218086,Uperodon triangularis,Moen et al. 2016,arboreal,m,25.5,37.6,NA,0.902,0.0984,NA,NA,NA,NA
FMNH-218087,Uperodon triangularis,Moen et al. 2016,arboreal,f,30.28,43.01,NA,1.415,0.1202,NA,NA,NA,NA
DSM-0257,Uperoleia lithomoda,Moen et al. 2013,burrowing,f,23.63,30.05,1.67,1.167,0.098,1.109344,49.700828,0.335635,18.010585
DSM-0258,Uperoleia lithomoda,Moen et al. 2013,burrowing,m,23.68,29.82,1.8,0.877,0.076,1.304199,53.238138,0.347549,9.311259
DSM-0259,Uperoleia lithomoda,Moen et al. 2013,burrowing,f,24.33,30.68,1.443333333,0.934,0.088,1.20966,47.158631,0.338068,12.29014
USNM-208717,Vitreorana eurygnatha,Moen et al. 2016,arboreal,m,20.86,37.74,NA,0.524,0.036,NA,NA,NA,NA
USNM-208720,Vitreorana eurygnatha,Moen et al. 2016,arboreal,m,20.14,37.49,NA,0.495,0.04,NA,NA,NA,NA
USNM-208724,Vitreorana eurygnatha,Moen et al. 2016,arboreal,m,18.6,37.64,NA,0.463,0.034,NA,NA,NA,NA
USNM-208725,Vitreorana eurygnatha,Moen et al. 2016,arboreal,m,18.55,35.46,NA,0.388,0.032,NA,NA,NA,NA
USNM-208726,Vitreorana eurygnatha,Moen et al. 2016,arboreal,m,19.4,38.14,NA,0.445,0.03,NA,NA,NA,NA
CAS-201673,Xenopus wittei,Moen et al. 2016,aquatic,m,39.67,49.01,NA,5.825,1.032,NA,NA,NA,NA
CAS-201674,Xenopus wittei,Moen et al. 2016,aquatic,m,39.97,55.34,NA,5.594,0.852,NA,NA,NA,NA
CAS-201675,Xenopus wittei,Moen et al. 2016,aquatic,m,37.43,50.69,NA,4.405,0.694,NA,NA,NA,NA
CAS-201676,Xenopus wittei,Moen et al. 2016,aquatic,m,39.35,53.2,NA,5.358,0.782,NA,NA,NA,NA
CAS-201679,Xenopus wittei,Moen et al. 2016,aquatic,m,40.62,55.63,NA,6.208,0.942,NA,NA,NA,NA